Livro,Capítulo,Verso,Antes,Depois
Mt,2,15,"E estava lá até a morte de Herodes, para que se cumprisse o que foi falado d<i>o</i> Senhor pelo profeta<f>[1]</f>, que diz: “D<i>o</i> Egito chamei o meu filho.”<f>[2]</f>","E estava lá até a morte de Herodes, para que se cumprisse o que foi falado d<n>[o]</n> Senhor pelo profeta<f>[1]</f>, que diz: “D<n>[o]</n> Egito chamei o meu filho.”<f>[2]</f>"
Mt,2,18,"“Uma voz se ouviu em Ramá<f>[1]</f>, choro e muito pranto; Raquel<f>[2]</f> chorando os seus filhos<f>[3]</f>, e não quer ser consolada, porque não são <i>mais</i>”<f>[4]</f>.","“Uma voz se ouviu em Ramá<f>[1]</f>, choro e muito pranto; Raquel<f>[2]</f> chorando os seus filhos<f>[3]</f>, e não quer ser consolada, porque não são <n>[mais]</n>”<f>[4]</f>."
Mt,2,19,"Mas, havendo morrido<f>[1]</f> Herodes, vê, um anjo d<i>o</i> Senhor aparece por sonho a José n<i>o</i> Egito,","Mas, havendo morrido<f>[1]</f> Herodes, vê, um anjo d<n>[o]</n> Senhor aparece por sonho a José n<n>[o]</n> Egito,"
Mt,2,20,"dizendo: Levanta‑te, toma a criança e a sua mãe, e vai para <i>a</i> terra <i>de</i> Israel; porque morreram os que procuravam a vida da criança.","dizendo: Levanta‑te, toma a criança e a sua mãe, e vai para <n>[a]</n> terra <n>[de]</n> Israel; porque morreram os que procuravam a vida da criança."
Mt,2,21,"Ele, pois, levantando, tomou a criança e a sua mãe e veio para <i>a</i> terra <i>de</i> Israel.","Ele, pois, levantando, tomou a criança e a sua mãe e veio para <n>[a]</n> terra <n>[de]</n> Israel."
Mt,3,3,"Pois esse é aquele de quem foi falado por Isaías<f>[1]</f>, o profeta, que diz: “Voz de um <i>que está</i> clamando no deserto: Preparai o caminho d<i>o</i> Senhor; fazei retas as suas veredas”<f>[2]</f>.","Pois esse é aquele de quem foi falado por Isaías<f>[1]</f>, o profeta, que diz: “Voz de um <n>[que está]</n> clamando no deserto: Preparai o caminho d<n>[o]</n> Senhor; fazei retas as suas veredas”<f>[2]</f>."
Mt,3,10,"E já o machado está posto à raiz das árvores; cada árvore, pois, que não produz bom fruto, é cortada e lançada n<i>o</i> fogo.","E já o machado está posto à raiz das árvores; cada árvore, pois, que não produz bom fruto, é cortada e lançada n<n>[o]</n> fogo."
Mt,3,11,"Eu, na verdade, vos batizo com<f>[1]</f> água para arrependimento; mas aquele que vem após mim, é mais poderoso do que eu, cujas sandálias não sou digno <i>de</i> levar; ele vos batizará em<f>[2]</f> Espírito Santo e fogo;","Eu, na verdade, vos batizo com<f>[1]</f> água para arrependimento; mas aquele que vem após mim, é mais poderoso do que eu, cujas sandálias não sou digno <n>[de]</n> levar; ele vos batizará em<f>[2]</f> Espírito Santo e fogo;"
Mt,3,13,"Então, chegou Jesus d<i>a</i> Galileia para o Jordão, a<f>[1]</f> João, para ser batizado por ele.","Então, chegou Jesus d<n>[a]</n> Galileia para o Jordão, a<f>[1]</f> João, para ser batizado por ele."
Mt,3,15,"Respondendo, pois, Jesus disse‑lhe: Permite<i>‑o</i> agora; porque assim nos convém cumprir toda<f>[1]</f> justiça. Então lh<i>o</i> permitiu.","Respondendo, pois, Jesus disse‑lhe: Permite<n>[‑o]</n> agora; porque assim nos convém cumprir toda<f>[1]</f> justiça. Então lh<n>[o]</n> permitiu."
Mt,4,4,"Ele, porém, respondendo, disse: Está escrito: “Não só de pão viverá [o] homem, mas de toda palavra saindo pel<i>a</i> boca de Deus”<f>[1]</f>.","Ele, porém, respondendo, disse: Está escrito: “Não só de pão viverá [o] homem, mas de toda palavra saindo pel<n>[a]</n> boca de Deus”<f>[1]</f>."
Mt,4,6,"e disse‑lhe: Se és Filho de Deus, lança‑te a ti mesmo abaixo; porque está escrito: “Aos seus anjos mandará a respeito de ti, e n<i>as</i> mãos te carregarão, para que não colida com uma pedra o teu pé”<f>[1]</f>.","e disse‑lhe: Se és Filho de Deus, lança‑te a ti mesmo abaixo; porque está escrito: “Aos seus anjos mandará a respeito de ti, e n<n>[as]</n> mãos te carregarão, para que não colida com uma pedra o teu pé”<f>[1]</f>."
Mt,4,7,"Disse‑lhe Jesus: Novamente está escrito: “Não tentarás <i>o</i> Senhor, o teu Deus”<f>[1]</f>.","Disse‑lhe Jesus: Novamente está escrito: “Não tentarás <n>[o]</n> Senhor, o teu Deus”<f>[1]</f>."
Mt,4,9,"e disse‑lhe: Essas <i>coisas</i> todas te dou, se, prostrando, me adorares<f>[1]</f>.","e disse‑lhe: Essas <n>[coisas]</n> todas te dou, se, prostrando, me adorares<f>[1]</f>."
Mt,4,10,"Então, disse‑lhe Jesus: Parte, Satanás<f>[1]</f>! Porque está escrito: “<i>O</i> Senhor, o teu Deus, adorarás, e servirás a ele só”<f>[2]</f>.","Então, disse‑lhe Jesus: Parte, Satanás<f>[1]</f>! Porque está escrito: “<n>[O]</n> Senhor, o teu Deus, adorarás, e servirás a ele só”<f>[2]</f>."
Mt,4,13,"e, deixando Nazaré, veio e morava em Cafarnaum<f>[1]</f> à beira do mar<f>[2]</f>, n<i>os</i> limites<f>[3]</f> de Zebulom<f>[4]</f> e Naftali<f>[5]</f>;","e, deixando Nazaré, veio e morava em Cafarnaum<f>[1]</f> à beira do mar<f>[2]</f>, n<n>[os]</n> limites<f>[3]</f> de Zebulom<f>[4]</f> e Naftali<f>[5]</f>;"
Mt,4,15,"“Terra de Zebulom e terra de Naftali, <i>junto ao</i> caminho do mar, além do Jordão, Galileia das nações,","“Terra de Zebulom e terra de Naftali, <n>[junto ao]</n> caminho do mar, além do Jordão, Galileia das nações,"
Mt,4,17,"Desde então começou Jesus a pregar<f>[1]</f> e dizer: Arrependei<i>‑vos</i>, porque chegou perto o reino dos céus.","Desde então começou Jesus a pregar<f>[1]</f> e dizer: Arrependei<n>[‑vos]</n>, porque chegou perto o reino dos céus."
Mt,4,21,"E, indo adiante dali, viu outros dois irmãos, Tiago<f>[1]</f>, o <i>filho</i> de Zebedeu<f>[2]</f>, e João, seu irmão, no<f>[3]</f> barco com Zebedeu, o seu pai, consertando as suas redes; e os chamou.","E, indo adiante dali, viu outros dois irmãos, Tiago<f>[1]</f>, o <n>[filho]</n> de Zebedeu<f>[2]</f>, e João, seu irmão, no<f>[3]</f> barco com Zebedeu, o seu pai, consertando as suas redes; e os chamou."
Mt,4,25,"E seguiam‑no grandes multidões da Galileia, <i>d</i>e Decápolis<f>[1]</f>, <i>d</i>e Jerusalém, e <i>da</i> Judéia, e <i>de</i> além do Jordão.","E seguiam‑no grandes multidões da Galileia, <n>[d]</n>e Decápolis<f>[1]</f>, <n>[d]</n>e Jerusalém, e <n>[da]</n> Judéia, e <n>[de]</n> além do Jordão."
Mt,5,8,"Bem‑aventurados os de coração puro, porque eles verão <i>a</i> Deus.","Bem‑aventurados os de coração puro, porque eles verão <n>[a]</n> Deus."
Mt,5,12,"Alegrai<i>‑vos</i> e exultai<f>[1]</f>, porque o vosso galardão<f>[2]</f> <i>é</i> grande nos céus; porque assim perseguiram os profetas, os que <i>foram</i> antes de vós.","Alegrai<n>[‑vos]</n> e exultai<f>[1]</f>, porque o vosso galardão<f>[2]</f> <n>[é]</n> grande nos céus; porque assim perseguiram os profetas, os que <n>[foram]</n> antes de vós."
Mt,5,13,"Vós sois o sal da terra; mas se o sal se tornar insípido, com que se salgá‑<i>lo</i>‑á? Para nada mais serve, exceto <i>para</i> ser lançado fora, para ser pisado pelos homens.","Vós sois o sal da terra; mas se o sal se tornar insípido, com que se salgá‑<n>[lo]</n>‑á? Para nada mais serve, exceto <n>[para]</n> ser lançado fora, para ser pisado pelos homens."
Mt,5,15,"nem se acende uma lâmpada<f>[1]</f> e <i>a</i> coloca debaixo do alqueire<f>[2]</f>, mas no suporte de lâmpada<f>[3]</f>, e resplandece a todos que estão na casa.","nem se acende uma lâmpada<f>[1]</f> e <n>[a]</n> coloca debaixo do alqueire<f>[2]</f>, mas no suporte de lâmpada<f>[3]</f>, e resplandece a todos que estão na casa."
Mt,5,16,"Assim resplandeça a vossa luz perante os homens, para que vejam as vossas obras úteis<f>[1]</f>, e glorifiquem o vosso Pai, <i>que</i> <i>está</i> nos céus.","Assim resplandeça a vossa luz perante os homens, para que vejam as vossas obras úteis<f>[1]</f>, e glorifiquem o vosso Pai, <n>[que]</n> <n>[está]</n> nos céus."
Mt,5,17,"Não penseis que vim para destruir<f>[1]</f> a lei ou os profetas, mas para <i>os</i> cumprir<f>[2]</f>.","Não penseis que vim para destruir<f>[1]</f> a lei ou os profetas, mas para <n>[os]</n> cumprir<f>[2]</f>."
Mt,5,18,"Em verdade<f>[1]</f>, vos digo: Até que o céu e a terra passem, não passará da lei nem um jota ou um til<f>[2]</f>, até que todas <i>as coisas</i> chegaram a ser<f>[3]</f>.","Em verdade<f>[1]</f>, vos digo: Até que o céu e a terra passem, não passará da lei nem um jota ou um til<f>[2]</f>, até que todas <n>[as coisas]</n> chegaram a ser<f>[3]</f>."
Mt,5,19,"Qualquer, porém, que violar<f>[1]</f> um desses menores mandamentos e assim ensinar os homens, será chamado <i>o</i> menor no reino dos céus; mas qualquer que <i>os</i> faz<f>[2]</f>, esse será chamado grande no reino dos céus.","Qualquer, porém, que violar<f>[1]</f> um desses menores mandamentos e assim ensinar os homens, será chamado <n>[o]</n> menor no reino dos céus; mas qualquer que <n>[os]</n> faz<f>[2]</f>, esse será chamado grande no reino dos céus."
Mt,5,20,"Pois vos digo que, se a vossa justiça não excede<f>[1]</f> <i>a</i> dos escribas e fariseus, não entrareis no reino dos céus.","Pois vos digo que, se a vossa justiça não excede<f>[1]</f> <n>[a]</n> dos escribas e fariseus, não entrareis no reino dos céus."
Mt,5,29,"Se, pois, o teu olho direito te escandalizar, arranca‑o e lança<i>‑o</i> <i>fora</i> de ti; porque te é útil que pereça um dos teus membros, e não seja lançado todo o teu corpo n<i>a</i> geena.","Se, pois, o teu olho direito te escandalizar, arranca‑o e lança<n>[‑o]</n> <n>[fora]</n> de ti; porque te é útil que pereça um dos teus membros, e não seja lançado todo o teu corpo n<n>[a]</n> geena."
Mt,5,30,"E se a tua mão direita te escandaliza, corta‑a e lança<i>‑a fora</i> de ti; porque te é útil que pereça um dos teus membros, e não todo o teu corpo vá para <i>a</i> geena.","E se a tua mão direita te escandaliza, corta‑a e lança<n>[‑a fora]</n> de ti; porque te é útil que pereça um dos teus membros, e não todo o teu corpo vá para <n>[a]</n> geena."
Mt,5,32,"Eu, pois, vos digo: Qualquer, que deixar a sua mulher, exceto por causa de fornicação<f>[1]</f>, faz ela adulterar<f>[2]</f>; e qualquer que casar com uma <i>mulher que foi</i> deixada, adultera<f>[3]</f>.","Eu, pois, vos digo: Qualquer, que deixar a sua mulher, exceto por causa de fornicação<f>[1]</f>, faz ela adulterar<f>[2]</f>; e qualquer que casar com uma <n>[mulher que foi]</n> deixada, adultera<f>[3]</f>."
Mt,5,34,"Eu, pois, vos digo: De maneira nenhuma jureis; nem pelo céu, porque é <i>o</i> trono de Deus;","Eu, pois, vos digo: De maneira nenhuma jureis; nem pelo céu, porque é <n>[o]</n> trono de Deus;"
Mt,5,35,"nem pela terra, porque é supedâneo<f>[1]</f> dos seus pés; nem por Jerusalém, porque é <i>a</i> cidade do grande rei;","nem pela terra, porque é supedâneo<f>[1]</f> dos seus pés; nem por Jerusalém, porque é <n>[a]</n> cidade do grande rei;"
Mt,5,41,"E quem te obrigar <i>a andar com ele</i> uma milha<f>[1]</f>, vai com ele duas.","E quem te obrigar <n>[a andar com ele]</n> uma milha<f>[1]</f>, vai com ele duas."
Mt,5,45,"para que vos torneis filhos do vosso Pai <i>que está</i> n[o] céu, porque faz nascer o seu sol sobre maus e bons, e chove sobre justos e injustos.","para que vos torneis filhos do vosso Pai <n>[que está]</n> n[o] céu, porque faz nascer o seu sol sobre maus e bons, e chove sobre justos e injustos."
Mt,6,1,"Cuidai, pois, para não fazer a vossa justiça<f>[1]</f> diante dos homens, para serdes vistos por eles; de outra sorte não tereis galardão<f>[2]</f> com o vosso Pai, <i>que está</i> nos céus.","Cuidai, pois, para não fazer a vossa justiça<f>[1]</f> diante dos homens, para serdes vistos por eles; de outra sorte não tereis galardão<f>[2]</f> com o vosso Pai, <n>[que está]</n> nos céus."
Mt,6,2,"Quando, então, deres<f>[1]</f> esmola, não trombeteies diante de ti como os hipócritas fazem nas sinagogas e nas ruas, para que sejam honrados pelos homens. Em verdade, vos digo, <i>já</i> receberam<f>[2]</f> o seu galardão.","Quando, então, deres<f>[1]</f> esmola, não trombeteies diante de ti como os hipócritas fazem nas sinagogas e nas ruas, para que sejam honrados pelos homens. Em verdade, vos digo, <n>[já]</n> receberam<f>[2]</f> o seu galardão."
Mt,6,5,"E, quando orardes, não sejais como os hipócritas; porque gostam de<f>[1]</f> orar em pé nas sinagogas e nas esquinas das ruas<f>[2]</f>, para que apareçam diante dos homens. Em verdade, vos digo, <i>já</i> receberam o seu galardão.","E, quando orardes, não sejais como os hipócritas; porque gostam de<f>[1]</f> orar em pé nas sinagogas e nas esquinas das ruas<f>[2]</f>, para que apareçam diante dos homens. Em verdade, vos digo, <n>[já]</n> receberam o seu galardão."
Mt,6,6,"Tu, porém, quando orares, entra na tua câmara<f>[1]</f>, e, tendo fechado a tua porta, ora ao teu Pai, que<i>está</i> em secreto, e o teu Pai, que vê em secreto, te recompensará<f>[2]</f>.","Tu, porém, quando orares, entra na tua câmara<f>[1]</f>, e, tendo fechado a tua porta, ora ao teu Pai, que<n>[está]</n> em secreto, e o teu Pai, que vê em secreto, te recompensará<f>[2]</f>."
Mt,6,7,"Orando, pois, não palreis<f>[1]</f> como os <i>das</i> nações; porque pensam que, por causa do seu muito falar, serão ouvidos.","Orando, pois, não palreis<f>[1]</f> como os <n>[das]</n> nações; porque pensam que, por causa do seu muito falar, serão ouvidos."
Mt,6,8,"Não vos assemelheis, pois, a eles; porque o vosso Pai sabe do que tendes necessidade antes de vós lh<i>o</i> pedirdes.","Não vos assemelheis, pois, a eles; porque o vosso Pai sabe do que tendes necessidade antes de vós lh<n>[o]</n> pedirdes."
Mt,6,9,"Portanto, orai vós assim: Pai nosso, <i>que</i> <i>estás</i> nos céus, santificado seja o teu nome;","Portanto, orai vós assim: Pai nosso, <n>[que]</n> <n>[estás]</n> nos céus, santificado seja o teu nome;"
Mt,6,10,"venha o teu reino; faça‑se a tua vontade, como no céu, <i>assim</i> também na<f>[1]</f> terra.","venha o teu reino; faça‑se a tua vontade, como no céu, <n>[assim]</n> também na<f>[1]</f> terra."
Mt,6,12,"e perdoa‑nos as nossas dívidas, como também nós perdoamos<f>[1]</f> <i>a</i>os nossos devedores;","e perdoa‑nos as nossas dívidas, como também nós perdoamos<f>[1]</f> <n>[a]</n>os nossos devedores;"
Mt,6,14,"Porque, se perdoardes <i>a</i>os homens as suas ofensas<f>[1]</f>, também vos perdoará o vosso Pai celestial;","Porque, se perdoardes <n>[a]</n>os homens as suas ofensas<f>[1]</f>, também vos perdoará o vosso Pai celestial;"
Mt,6,15,"se, pois, não perdoardes <i>a</i>os homens [as suas ofensas]<f>[1]</f>, nem o vosso Pai celestial vos perdoará as vossas ofensas.","se, pois, não perdoardes <n>[a]</n>os homens [as suas ofensas]<f>[1]</f>, nem o vosso Pai celestial vos perdoará as vossas ofensas."
Mt,6,16,"Quando, pois, jejuardes não sejais como os hipócritas, <i>de aparência</i> sombria<f>[1]</f>; porque desfiguram os seus rostos, para que aparentem<f>[2]</f> aos homens <i>como tais que estão</i> jejuando. Em verdade, vos digo, <i>já</i> receberam o seu galardão<f>[3]</f>.","Quando, pois, jejuardes não sejais como os hipócritas, <n>[de aparência]</n> sombria<f>[1]</f>; porque desfiguram os seus rostos, para que aparentem<f>[2]</f> aos homens <n>[como tais que estão]</n> jejuando. Em verdade, vos digo, <n>[já]</n> receberam o seu galardão<f>[3]</f>."
Mt,6,17,"Tu, porém, <i>enquanto</i> <i>estás</i> jejuando, unge a tua cabeça, e lava o teu rosto,","Tu, porém, <n>[enquanto]</n> <n>[estás]</n> jejuando, unge a tua cabeça, e lava o teu rosto,"
Mt,6,18,"para que não aparentes aos homens <i>como quem está</i> jejuando, mas ao teu Pai, que <i>está</i> em secreto; e, o teu Pai, que <i>está</i> vendo em secreto, te recompensará<f>[1]</f>.","para que não aparentes aos homens <n>[como quem está]</n> jejuando, mas ao teu Pai, que <n>[está]</n> em secreto; e, o teu Pai, que <n>[está]</n> vendo em secreto, te recompensará<f>[1]</f>."
Mt,6,19,"Não vos ajunteis tesouros na terra, onde <i>a</i> traça e ferrugem<f>[1]</f> destroem<f>[2]</f>, e onde ladrões furam<f>[3]</f> e furtam<f>[4]</f>;","Não vos ajunteis tesouros na terra, onde <n>[a]</n> traça e ferrugem<f>[1]</f> destroem<f>[2]</f>, e onde ladrões furam<f>[3]</f> e furtam<f>[4]</f>;"
Mt,6,20,"ajuntai‑vos, pois, tesouros no céu, onde nem <i>a</i> traça nem ferrugem destrói, e onde ladrões não furam nem furtam;","ajuntai‑vos, pois, tesouros no céu, onde nem <n>[a]</n> traça nem ferrugem destrói, e onde ladrões não furam nem furtam;"
Mt,6,23,"se, pois, o teu olho for mau<f>[1]</f>, todo o teu corpo será escuro<f>[2]</f>. Se, então, a luz <i>que há</i> em ti é trevas, quão grande a trevas!<pb/>","se, pois, o teu olho for mau<f>[1]</f>, todo o teu corpo será escuro<f>[2]</f>. Se, então, a luz <n>[que há]</n> em ti é trevas, quão grande a trevas!<pb/>"
Mt,6,25,"Por isso, vos digo: Não estejais cuidadosos quanto à vossa vida, o que haveis de comer ou o que haveis de beber; nem quanto ao vosso corpo, o que haveis de vestir. Não é a vida mais do que o alimento, e o corpo <i>mais</i> do que o vestuário<f>[1]</f>?","Por isso, vos digo: Não estejais cuidadosos quanto à vossa vida, o que haveis de comer ou o que haveis de beber; nem quanto ao vosso corpo, o que haveis de vestir. Não é a vida mais do que o alimento, e o corpo <n>[mais]</n> do que o vestuário<f>[1]</f>?"
Mt,6,26,"Olhai para as aves do céu, que não semeiam, nem colhem, nem ajuntam em celeiros, e o vosso Pai celeste as alimenta. Não sois <i>vós</i> mais excelentes do que elas?","Olhai para as aves do céu, que não semeiam, nem colhem, nem ajuntam em celeiros, e o vosso Pai celeste as alimenta. Não sois <n>[vós]</n> mais excelentes do que elas?"
Mt,6,27,"Quem, pois, dentre vós, estando cuidadoso<f>[1]</f>, pode acrescentar para a sua estatura<f>[2]</f> <i>um</i> côvado?","Quem, pois, dentre vós, estando cuidadoso<f>[1]</f>, pode acrescentar para a sua estatura<f>[2]</f> <n>[um]</n> côvado?"
Mt,6,30,"Se, pois, Deus assim veste a erva do campo, que hoje existe<f>[1]</f> e amanhã é lançada no forno, <i>então</i> não <i>vestirá</i> muito mais a vós, <i>homens de</i> pouca<f>[2]</f> fé<f>[3]</f>?","Se, pois, Deus assim veste a erva do campo, que hoje existe<f>[1]</f> e amanhã é lançada no forno, <n>[então]</n> não <n>[vestirá]</n> muito mais a vós, <n>[homens de]</n> pouca<f>[2]</f> fé<f>[3]</f>?"
Mt,6,32,Porque todas essas <i>coisas</i> as nações procuram; porque o vosso Pai celeste sabe que necessitais de todas essas <i>coisas</i>.,Porque todas essas <n>[coisas]</n> as nações procuram; porque o vosso Pai celeste sabe que necessitais de todas essas <n>[coisas]</n>.
Mt,6,33,"Procurai<f>[1]</f> primeiro o reino de Deus e a sua justiça, e todas essas <i>coisas</i> vos serão acrescentadas.","Procurai<f>[1]</f> primeiro o reino de Deus e a sua justiça, e todas essas <n>[coisas]</n> vos serão acrescentadas."
Mt,6,34,"Por isso não estejais cuidadosos para o <i>dia de</i> amanhã, porque o <i>dia de</i> amanhã cuidará de si mesmo. Suficiente para o dia <i>é</i> o seu mal.","Por isso não estejais cuidadosos para o <n>[dia de]</n> amanhã, porque o <n>[dia de]</n> amanhã cuidará de si mesmo. Suficiente para o dia <n>[é]</n> o seu mal."
Mt,7,4,"Ou como dirás ao teu irmão: Permite <i>que</i> tire o cisco do teu olho; e, vê, a trave <i>está</i> no teu olho?","Ou como dirás ao teu irmão: Permite <n>[que]</n> tire o cisco do teu olho; e, vê, a trave <n>[está]</n> no teu olho?"
Mt,7,10,"Ou, também, se <i>lhe</i> pedir um peixe, lhe dará uma serpente?","Ou, também, se <n>[lhe]</n> pedir um peixe, lhe dará uma serpente?"
Mt,7,11,"Se, então, <i>vós</i>, sendo maus, sabeis dar boas dádivas aos vossos filhos<f>[1]</f>, quanto mais o vosso Pai, <i>que está</i> nos céus, dará boas <i>coisas</i> aos que lhe pedirem!","Se, então, <n>[vós]</n>, sendo maus, sabeis dar boas dádivas aos vossos filhos<f>[1]</f>, quanto mais o vosso Pai, <n>[que está]</n> nos céus, dará boas <n>[coisas]</n> aos que lhe pedirem!"
Mt,7,12,"Por isso, pois, todas <i>as</i> <i>coisas</i>, as quais quereis que os homens vos façam, essas também <i>vós</i> fazei a eles! Porque isso é a lei e os profetas.<pb/>","Por isso, pois, todas <n>[as]</n> <n>[coisas]</n>, as quais quereis que os homens vos façam, essas também <n>[vós]</n> fazei a eles! Porque isso é a lei e os profetas.<pb/>"
Mt,7,13,"Entrai pela porta estreita; porque larga <i>é</i> a porta e espaçosa a via que conduz para a destruição<f>[1]</f>, e muitos são os que entram por ela.<f>[2]</f>","Entrai pela porta estreita; porque larga <n>[é]</n> a porta e espaçosa a via que conduz para a destruição<f>[1]</f>, e muitos são os que entram por ela.<f>[2]</f>"
Mt,7,14,"Porque estreita <i>é</i> a porta e apertada a via que conduz para a vida, e poucos são os que a acham.<pb/>","Porque estreita <n>[é]</n> a porta e apertada a via que conduz para a vida, e poucos são os que a acham.<pb/>"
Mt,7,15,"Guardai<i>‑vos</i>, pois, dos falsos profetas<f>[1]</f>, que vêm a vós em vestuário<f>[2]</f> de ovelha, mas interiormente são lobos rapaces<f>[3]</f>.","Guardai<n>[‑vos]</n>, pois, dos falsos profetas<f>[1]</f>, que vêm a vós em vestuário<f>[2]</f> de ovelha, mas interiormente são lobos rapaces<f>[3]</f>."
Mt,7,18,"Uma árvore boa não pode produzir frutos maus, nem uma árvore podre <i>pode</i> produzir frutos bons.","Uma árvore boa não pode produzir frutos maus, nem uma árvore podre <n>[pode]</n> produzir frutos bons."
Mt,7,21,"Não todo o que me diz: Senhor, Senhor!, entrará no reino dos céus, mas aquele que faz a vontade do meu Pai, <i>que</i> <i>está</i> nos céus.","Não todo o que me diz: Senhor, Senhor!, entrará no reino dos céus, mas aquele que faz a vontade do meu Pai, <n>[que]</n> <n>[está]</n> nos céus."
Mt,7,22,"Muitos me dirão naquele dia: Senhor, Senhor! Não profetizávamos em <i>teu</i> nome, e em <i>teu</i> nome expulsávamos demônios, e em <i>teu</i> nome fazíamos muitas obras poderosas?","Muitos me dirão naquele dia: Senhor, Senhor! Não profetizávamos em <n>[teu]</n> nome, e em <n>[teu]</n> nome expulsávamos demônios, e em <n>[teu]</n> nome fazíamos muitas obras poderosas?"
